2019/8/1,82-0501_003,, 
X,Y,—Í,Šp“x
5,25,0.07,-68.4
5,20,0.45,1.8
5,15,0.18,-12.3
5,10,0.28,4.8
5,5,0.39,-2.9
10,5,0.26,-0.1
10,10,0.23,-1.3
10,15,0.23,4.2
10,20,0.21,0.9
10,25,0.28,3.1
15,25,0.27,-0.9
15,20,0.19,2.9
15,15,0.23,-3.1
15,10,0.14,2.5
15,5,0.18,-5
