2019/8/1,82-0501_002,, 
X,Y,—Í,Šp“x
5,25,0.07,-67.8
5,20,0.73,0.9
5,15,0.24,-13.5
5,10,0.73,2
5,5,0.69,-1.7
10,5,0.54,0.7
10,10,0.65,-0.1
10,15,0.38,3.1
10,20,0.52,-1.1
10,25,0.35,2.5
15,25,0.38,-0.5
15,20,0.33,1.8
15,15,0.38,-1.1
15,10,0.56,0.5
15,5,0.34,-2.8
